packages
ggamma
GGClassification
GGIR
GGIRread
gglasso
ggm
ggmcmc
ggmix
GGMncv
GGMnonreg
ggmr
GGMridge
GGMselect
GGoutlieR
ggrasp
GGRidge
ggroups
GGUM
