package,downloads,stars,gallery,description,CRAN
ggResidpanel,181775,NA,NA,Panels and Interactive Versions of Diagnostic Plots using 'ggplot2',TRUE
ggupset,167963,354,TRUE,Combination Matrix Axis for 'ggplot2' to Create 'UpSet' Plots,TRUE
ggpol,164721,105,TRUE,Visualizing Social Science Data with 'ggplot2',TRUE
ggseqlogo,162960,211,TRUE,A 'ggplot2' Extension for Drawing Publication-Ready Sequence Logos,TRUE
ggtangle,152913,NA,NA,Draw Network with Data,TRUE
gratia,149184,NA,NA,"Graceful 'ggplot'-Based Graphics and Other Functions for GAMs
Fitted Using 'mgcv'",TRUE
ggThemeAssist,141672,NA,NA,Add-in to Customize 'ggplot2' Themes,TRUE
AMR,141019,91,TRUE,NA,NA
RcmdrPlugin.KMggplot2,135733,NA,NA,R Commander Plug-in for Data Visualization with 'ggplot2',TRUE
ggquickeda,130839,NA,NA,Quickly Explore Your Data Using 'ggplot2' and 'table1' Summary Tables,TRUE
geomtextpath,125802,629,TRUE,Curved Text in 'ggplot2',TRUE
ggseas,118083,74,TRUE,'stats' for Seasonal Adjustment on the Fly with 'ggplot2',TRUE
ggraptR,114738,NA,NA,Allows Interactive Visualization of Data Through a Web Browser GUI,TRUE
ggeasy,111791,274,TRUE,Easy Access to 'ggplot2' Commands,TRUE
gginnards,111422,24,TRUE,Explore the Innards of 'ggplot2' Objects,TRUE
ggplot2.utils,107818,NA,NA,Selected Utilities Extending 'ggplot2',TRUE
ggRandomForests,104887,NA,NA,Visually Exploring Random Forests,TRUE
ggedit,104209,250,TRUE,Interactive 'ggplot2' Layer and Theme Aesthetic Editor,TRUE
ggokabeito,101068,NA,NA,'Okabe-Ito' Scales for 'ggplot2' and 'ggraph',TRUE
gge,100930,NA,NA,Genotype Plus Genotype-by-Environment Biplots,TRUE
ggjoy,97317,NA,NA,Joyplots in 'ggplot2',TRUE
jcolors,97030,NA,NA,"Colors Palettes for R and 'ggplot2', Additional Themes for
'ggplot2'",TRUE
ggpointdensity,95399,422,TRUE,A Cross Between a 2D Density Plot and a Scatter Plot,TRUE
geofacet,94968,340,TRUE,'ggplot2' Faceting Utilities for Geographical Data,TRUE
ComplexUpset,85367,486,TRUE,Create Complex UpSet Plots Using 'ggplot2' Components,TRUE
ggpolypath,83256,NA,NA,Polygons with Holes for the Grammar of Graphics,TRUE
ggplotgui,82524,NA,NA,Create Ggplots via a Graphical User Interface,TRUE
ggdark,82478,199,TRUE,Dark Mode for 'ggplot2' Themes,TRUE
ggparty,80931,147,TRUE,'ggplot' Visualizations for the 'partykit' Package,TRUE
xkcd,79772,NA,NA,Plotting ggplot2 Graphics in an XKCD Style,TRUE
ggbiplot,79653,NA,NA,A Grammar of Graphics Implementation of Biplots,TRUE
ggspectra,73670,5,TRUE,Extensions to 'ggplot2' for Radiation Spectra,TRUE
sugrrants,70427,82,TRUE,NA,NA
ggstar,68107,100,TRUE,Multiple Geometric Shape Point Layer for 'ggplot2',TRUE
ggparallel,65385,NA,NA,Variations of Parallel Coordinate Plots for Categorical Data,TRUE
ggQC,63723,46,TRUE,Quality Control Charts for 'ggplot',TRUE
ichimoku,62634,31,TRUE,NA,NA
lindia,60586,104,TRUE,NA,NA
ggplotAssist,57570,NA,NA,'RStudio' Addin for Teaching and Learning 'ggplot2',TRUE
autoplotly,57376,88,TRUE,NA,NA
jskm,55517,NA,NA,Kaplan-Meier Plot with 'ggplot2',TRUE
ggfx,54892,170,TRUE,Pixel Filters for 'ggplot2' and 'grid',TRUE
calendR,54563,255,TRUE,Ready to Print Monthly and Yearly Calendars Made with 'ggplot2',TRUE
bdscale,52566,NA,NA,Remove Weekends and Holidays from ggplot2 Axes,TRUE
granovaGG,50718,NA,NA,Graphical Analysis of Variance Using ggplot2,TRUE
ggTimeSeries,49252,255,TRUE,Time Series Visualisations Using the Grammar of Graphics,TRUE
ggpval,48895,NA,NA,Annotate Statistical Tests for 'ggplot2',TRUE
gglm,48498,79,TRUE,Grammar of Graphics for Linear Model Diagnostic Plots,TRUE
ggsoccer,47447,NA,NA,Plot Soccer Event Data,TRUE
ggmuller,45759,64,TRUE,Create Muller Plots of Evolutionary Dynamics,TRUE
ggswissmaps,45499,NA,NA,Offers Various Swiss Maps as Data Frames and 'ggplot2' Objects,TRUE
ggPMX,45230,NA,NA,'ggplot2' Based Tool to Facilitate Diagnostic Plots for NLME Models,TRUE
ggetho,45125,NA,NA,Visualisation of High-Throughput Behavioural (i.e. Ethomics) Data,TRUE
ggquiver,44370,51,TRUE,Quiver Plots for 'ggplot2',TRUE
gg.gap,44291,NA,NA,Define Segments in y-Axis for 'ggplot2',TRUE
gggibbous,44265,NA,NA,"Moon Charts, a Pie Chart Alternative",TRUE
GGEBiplots,42939,NA,NA,GGE Biplots with 'ggplot2',TRUE
ggenealogy,42756,NA,NA,Visualization Tools for Genealogical Data,TRUE
quickReg,42119,NA,NA,"Build Regression Models Quickly and Display the Results Using
'ggplot2'",TRUE
tvthemes,42092,140,TRUE,TV Show Themes and Color Palettes for 'ggplot2' Graphics,TRUE
rphylopic,40512,91,TRUE,NA,NA
ggplotlyExtra,40425,NA,NA,Extra Convenience Functions for 'Plotly',TRUE
ggbump,40075,541,TRUE,Bump Chart and Sigmoid Curves,TRUE
ggasym,39996,13,TRUE,NA,NA
gapmap,39803,NA,NA,Drawing Gapped Cluster Heatmaps with 'ggplot2',TRUE
ggseqplot,39033,14,TRUE,Render Sequence Plots using 'ggplot2',TRUE
ggdemetra,38595,NA,NA,'ggplot2' Extension for Seasonal and Trading Day Adjustment with 'RJDemetra',TRUE
gginference,38393,NA,NA,Visualise the Results of Inferential Statistics using 'ggplot2',TRUE
ggcharts,38343,292,TRUE,Shorten the Distance from Data Visualization Idea to Actual Plot,TRUE
plotluck,37588,NA,NA,"'ggplot2' Version of ""I'm Feeling Lucky!""",TRUE
geomnet,37491,97,TRUE,NA,NA
nord,37333,NA,NA,"Arctic Ice Studio's Nord and Group of Seven Inspired Colour
Palettes for 'ggplot2'",TRUE
ggrain,36847,75,TRUE,A Rainclouds Geom for 'ggplot2',TRUE
piecepackr,36824,59,TRUE,NA,NA
ggallin,36157,NA,NA,Grab Bag of 'ggplot2' Functions,TRUE
ggdmc,36132,NA,NA,Cognitive Models,TRUE
gglorenz,36075,31,TRUE,Plotting Lorenz Curve with the Blessing of 'ggplot2',TRUE
nflplotR,35233,20,TRUE,NFL Logo Plots in 'ggplot2' and 'gt',TRUE
ggstream,34422,NA,NA,Create Streamplots in 'ggplot2',TRUE
aRtsy,34322,NA,NA,Generative Art with 'ggplot2',TRUE
swimplot,33753,NA,NA,Tools for Creating Swimmers Plots using 'ggplot2',TRUE
ggChernoff,33306,36,TRUE,Chernoff Faces for 'ggplot2',TRUE
ggversa,32835,NA,NA,Graficas Versatiles Con 'ggplot2',TRUE
ggOceanMaps,32536,NA,NA,Plot Data on Oceanographic Maps using 'ggplot2',TRUE
deeptime,32315,90,TRUE,NA,NA
ggghost,31959,NA,NA,Capture the Spirit of Your 'ggplot2' Calls,TRUE
ggperiodic,31648,21,TRUE,Easy Plotting of Periodic Data with 'ggplot2',TRUE
gghalfnorm,31075,NA,NA,Create a Half Normal Plot Using 'ggplot2',TRUE
ggdensity,30705,229,TRUE,Interpretable Bivariate Density Visualization with 'ggplot2',TRUE
contribution,30655,NA,NA,A Tiny Contribution Table Generator Based on 'ggplot2',TRUE
ggblanket,29954,168,TRUE,Simplify 'ggplot2' Visualisation,TRUE
ggrisk,29357,NA,NA,Risk Score Plot for Cox Regression,TRUE
ggseg,28265,219,TRUE,Plotting Tool for Brain Atlases,TRUE
add2ggplot,28182,NA,NA,Add to 'ggplot2',TRUE
ggsom,27736,13,TRUE,New Data Visualisations for SOMs Networks,TRUE
ggpage,27050,340,TRUE,Creates Page Layout Visualizations,TRUE
ggheatmap,26763,87,TRUE,Plot Heatmap,TRUE
ggpie,26507,48,TRUE,"Pie, Donut and Rose Pie Plots",TRUE
ggisotonic,26201,NA,NA,'ggplot2' Friendly Isotonic or Monotonic Regression Curves,TRUE
plothelper,25989,NA,NA,"New Plots Based on 'ggplot2' and Functions to Create Regular
Shapes",TRUE
ggfocus,25932,NA,NA,Scales that Focus Specific Levels in your ggplot(),TRUE
xmrr,25620,7,TRUE,NA,NA
ggbuildr,25498,NA,NA,Save Incremental Builds of Plots,TRUE
cytofan,25386,NA,NA,Plot Fan Plots for Cytometry Data using 'ggplot2',TRUE
loon.ggplot,24936,NA,NA,A Grammar of Interactive Graphics,TRUE
ggpath,24752,NA,NA,Robust Image Rendering Support for 'ggplot2',TRUE
ggimg,24483,53,TRUE,Graphics Layers for Plotting Image Data with 'ggplot2',TRUE
sportyR,24299,NA,NA,Plot Scaled 'ggplot' Representations of Sports Playing Surfaces,TRUE
ggnormalviolin,24244,NA,NA,A 'ggplot2' Extension to Make Normal Violin Plots,TRUE
ggQQunif,24165,8,TRUE,Compare Big Datasets to the Uniform Distribution,TRUE
ggsolvencyii,23094,NA,NA,A 'ggplot2'-Plot of Composition of Solvency II SCR: SF and IM,TRUE
ggmice,21751,NA,NA,Visualizations for 'mice' with 'ggplot2',TRUE
ggrcs,21713,NA,NA,Draw Histograms and Restricted Cubic Splines (RCS),TRUE
tidyplots,21654,415,TRUE,NA,NA
ggmulti,21630,NA,NA,High Dimensional Data Visualization,TRUE
SparseBiplots,20657,NA,NA,"'HJ-Biplot' using Different Ways of Penalization Plotting with
'ggplot2'",TRUE
ggBubbles,20306,NA,NA,Mini Bubble Plots for Comparison of Discrete Data with 'ggplot2',TRUE
ggarchery,19806,32,TRUE,Flexible Segment Geoms with Arrows for 'ggplot2',TRUE
mdthemes,19260,80,TRUE,NA,NA
ggip,17622,27,TRUE,Data Visualization for IP Addresses and Networks,TRUE
gggrid,17588,NA,NA,Draw with 'grid' in 'ggplot2',TRUE
ggshadow,17160,60,TRUE,Shadow and Glow Geoms for 'ggplot2',TRUE
ggseg3d,16825,NA,NA,Tri-Surface Mesh Plots for Brain Atlases,TRUE
ggHoriPlot,16400,144,TRUE,Horizon Plots for 'ggplot2',TRUE
ggpackets,15852,NA,NA,Package Plot Layers for Easier Portability and Modularization,TRUE
ggborderline,15701,NA,NA,Line Plots that Pop,TRUE
figpatch,15410,NA,NA,"Easily Arrange External Figures with Patchwork Alongside
'ggplot2' Figures",TRUE
fillpattern,15242,NA,NA,Patterned Fills for 'ggplot2' and 'grid' Graphics,TRUE
smplot2,15084,NA,NA,"Create Standalone and Composite Plots in 'ggplot2' for
Publications",TRUE
gwaRs,15078,NA,NA,"Manhattan, Q-Q, and PCA Plots using 'ggplot2'",TRUE
tablesgg,14066,NA,NA,"Presentation-Quality Tables, Displayed Using 'ggplot2'",TRUE
qtl2ggplot,14049,NA,NA,Data Visualization for QTL Experiments,TRUE
tgamtheme,13940,NA,NA,Globe and Mail Graphics Theme for 'ggplot2',TRUE
ggstudent,13710,NA,NA,Continuous Confidence Interval Plots using t-Distribution,TRUE
ggordiplots,13708,NA,NA,Make 'ggplot2' Versions of Vegan's Ordiplots,TRUE
ggx,13545,151,TRUE,A Natural Language Interface to 'ggplot2',TRUE
ggnuplot,13158,NA,NA,Make 'ggplot2' Look Like 'gnuplot',TRUE
