# CRAN data generated on: 2025-04-02 11:12:44.077273
package,downloads,description,CRAN
ggisotonic,25386,'ggplot2' Friendly Isotonic or Monotonic Regression Curves,TRUE
ggjoy,97099,Joyplots in 'ggplot2',TRUE
gglgbtq,6653,Show Pride on 'ggplot2' Plots,TRUE
gglm,43752,Grammar of Graphics for Linear Model Diagnostic Plots,TRUE
gglogger,2704,Track 'ggplot2' Calls,TRUE
gglorenz,34937,Plotting Lorenz Curve with the Blessing of 'ggplot2',TRUE
ggmap,7276878,Spatial Visualization with ggplot2,TRUE
ggmapcn,756,Customizable China Map Visualizations,TRUE
ggmapinset,6911,Add Inset Panels to Maps,TRUE
ggmatplot,10909,Plot Columns of Two Matrices Against Each Other Using 'ggplot2',TRUE
ggmice,19070,Visualizations for 'mice' with 'ggplot2',TRUE
ggmosaic,350732,Mosaic Plots in the 'ggplot2' Framework,TRUE
ggmugs,6492,Visualization of Multiple Genome-Wide Association Study Summary Statistics,TRUE
ggmuller,44667,Create Muller Plots of Evolutionary Dynamics,TRUE
ggmulti,20236,High Dimensional Data Visualization,TRUE
ggnetwork,323379,Geometries to Plot Networks with 'ggplot2',TRUE
ggnewscale,1046863,Multiple Fill and Colour Scales in 'ggplot2',TRUE
ggnormalviolin,23263,A 'ggplot2' Extension to Make Normal Violin Plots,TRUE
ggnuplot,12550,Make 'ggplot2' Look Like 'gnuplot',TRUE
ggOceanMaps,30335,Plot Data on Oceanographic Maps using 'ggplot2',TRUE
ggokabeito,78495,'Okabe-Ito' Scales for 'ggplot2' and 'ggraph',TRUE
ggordiplots,11569,Make 'ggplot2' Versions of Vegan's Ordiplots,TRUE
ggpackets,14753,Package Plot Layers for Easier Portability and Modularization,TRUE
ggpage,26263,Creates Page Layout Visualizations,TRUE
ggparallel,64072,Variations of Parallel Coordinate Plots for Categorical Data,TRUE
ggparty,72303,'ggplot' Visualizations for the 'partykit' Package,TRUE
ggpath,21674,Robust Image Rendering Support for 'ggplot2',TRUE
ggpattern,204074,'ggplot2' Pattern Geoms,TRUE
ggpca,2641,"Publication-Ready PCA, t-SNE, and UMAP Plots",TRUE
ggpcp,6610,Parallel Coordinate Plots in the 'ggplot2' Framework,TRUE
ggperiodic,30375,Easy Plotting of Periodic Data with 'ggplot2',TRUE
ggpie,23251,"Pie, Donut and Rose Pie Plots",TRUE
ggplate,11202,Create Layout Plots of Biological Culture Plates and Microplates,TRUE
ggplot.multistats,197369,Multiple Summary Statistics for Binned Stats/Geometries,TRUE
ggplot2,159099092,Create Elegant Data Visualisations Using the Grammar of Graphics,TRUE
ggplot2.utils,103250,Selected Utilities Extending 'ggplot2',TRUE
ggplot2movies,1293860,Movies Data,TRUE
ggplotAssist,56198,'RStudio' Addin for Teaching and Learning 'ggplot2',TRUE
ggplotgui,80147,Create Ggplots via a Graphical User Interface,TRUE
ggplotify,1608433,Convert Plot to 'grob' or 'ggplot' Object,TRUE
ggplotlyExtra,40283,Extra Convenience Functions for 'Plotly',TRUE
ggpmisc,806689,Miscellaneous Extensions to 'ggplot2',TRUE
ggPMX,43269,'ggplot2' Based Tool to Facilitate Diagnostic Plots for NLME Models,TRUE
ggpointdensity,84307,A Cross Between a 2D Density Plot and a Scatter Plot,TRUE
ggpointless,9449,Additional Geometries and Stats for 'ggplot2',TRUE
ggpol,158064,Visualizing Social Science Data with 'ggplot2',TRUE
ggpolar,10542,Dots and Their Connections in Polar Coordinate System,TRUE
ggpolypath,77907,Polygons with Holes for the Grammar of Graphics,TRUE
ggpp,595032,Grammar Extensions to 'ggplot2',TRUE
ggprism,171682,A 'ggplot2' Extension Inspired by 'GraphPad Prism',TRUE
ggpubr,16228504,'ggplot2' Based Publication Ready Plots,TRUE
ggpval,47457,Annotate Statistical Tests for 'ggplot2',TRUE
ggQC,62700,Quality Control Charts for 'ggplot',TRUE
ggQQunif,23459,Compare Big Datasets to the Uniform Distribution,TRUE
ggquickeda,129433,Quickly Explore Your Data Using 'ggplot2' and 'table1' Summary Tables,TRUE
ggquiver,42402,Quiver Plots for 'ggplot2',TRUE
ggragged,4884,Ragged Grids for 'ggplot2',TRUE
ggrain,30721,A Rainclouds Geom for 'ggplot2',TRUE
ggRandomForests,102801,Visually Exploring Random Forests,TRUE
ggraph,3650294,An Implementation of Grammar of Graphics for Graphs and Networks,TRUE
ggraptR,113700,Allows Interactive Visualization of Data Through a Web Browser GUI,TRUE
ggrastr,492738,Rasterize Layers for 'ggplot2',TRUE
ggrcs,18785,Draw Histograms and Restricted Cubic Splines (RCS),TRUE
ggredist,5915,"Scales, Geometries, and Extensions of 'ggplot2' for Election Mapping",TRUE
ggrepel,23345337,Automatically Position Non-Overlapping Text Labels with 'ggplot2',TRUE
ggResidpanel,161939,Panels and Interactive Versions of Diagnostic Plots using 'ggplot2',TRUE
ggreveal,3092,Reveal a 'ggplot' Incrementally,TRUE
ggridges,4852762,Ridgeline Plots in 'ggplot2',TRUE
ggrisk,28228,Risk Score Plot for Cox Regression,TRUE
ggrounded,4576,Rounded Bar Plots,TRUE
ggRtsy,3250,Add Some Van Gogh Colors and Overlay Colors on Your 'ggplot()',TRUE
ggsankeyfier,5686,Create Sankey and Alluvial Diagrams Using 'ggplot2',TRUE
ggScatRidges,3662,Scatter Plot Combined with Ridgelines in 'ggplot2',TRUE
ggsci,12072118,Scientific Journal and Sci-Fi Themed Color Palettes for 'ggplot2',TRUE
ggscidca,4198,Plotting Decision Curve Analysis with Coloured Bars,TRUE
ggseas,116602,'stats' for Seasonal Adjustment on the Fly with 'ggplot2',TRUE
ggsector,8327,Draw Sectors,TRUE
ggseg,25141,Plotting Tool for Brain Atlases,TRUE
ggseg3d,15165,Tri-Surface Mesh Plots for Brain Atlases,TRUE
ggsem,2290,Interactively Visualize Structural Equation Modeling Diagrams,TRUE
ggseqlogo,150415,A 'ggplot2' Extension for Drawing Publication-Ready Sequence Logos,TRUE
ggseqplot,17485,Render Sequence Plots using 'ggplot2',TRUE
ggshadow,15880,Shadow and Glow Geoms for 'ggplot2',TRUE
ggside,280372,Side Grammar Graphics,TRUE
ggsignif,12007419,Significance Brackets for 'ggplot2',TRUE
ggsmc,4414,Visualising Output from Sequential Monte Carlo Samplers and Ensemble-Based Methods,TRUE
ggsoccer,45158,Plot Soccer Event Data,TRUE
ggsolvencyii,22436,A 'ggplot2'-Plot of Composition of Solvency II SCR: SF and IM,TRUE
ggsom,26780,New Data Visualisations for SOMs Networks,TRUE
ggspark,1897,'ggplot2' Functions to Create Tufte Style Sparklines,TRUE
ggspatial,594664,Spatial Data Framework for ggplot2,TRUE
ggspectra,71995,Extensions to 'ggplot2' for Radiation Spectra,TRUE
ggstackplot,803,Create Overlapping Stacked Plots,TRUE
ggstance,1417333,Horizontal 'ggplot2' Components,TRUE
ggstar,63209,Multiple Geometric Shape Point Layer for 'ggplot2',TRUE
ggstats,1341141,Extension to 'ggplot2' for Plotting Stats,TRUE
ggstatsplot,617797,'ggplot2' Based Plots with Statistical Details,TRUE
ggstream,30244,Create Streamplots in 'ggplot2',TRUE
ggstudent,12790,Continuous Confidence Interval Plots using t-Distribution,TRUE
ggsurveillance,2892,Tools for Outbreak Investigation/Infectious Disease Surveillance,TRUE
ggsurvey,8893,Simplifying 'ggplot2' for Survey Data,TRUE
ggsurvfit,161714,Flexible Time-to-Event Figures,TRUE
ggswissmaps,44349,Offers Various Swiss Maps as Data Frames and 'ggplot2' Objects,TRUE
ggtangle,73588,Draw Network with Data,TRUE
ggtaxplot,752,Create Plots to Visualize Taxonomy,TRUE
ggtea,8160,Palettes and Themes for 'ggplot2',TRUE
ggtern,240110,"An Extension to 'ggplot2', for the Creation of Ternary Diagrams",TRUE
ggtext,3299854,Improved Text Rendering Support for 'ggplot2',TRUE
ggThemeAssist,138175,Add-in to Customize 'ggplot2' Themes,TRUE
ggthemes,6224812,"Extra Themes, Scales and Geoms for 'ggplot2'",TRUE
ggthemeUL,3006,A 'ggplot' Theme for University of Ljubljana,TRUE
ggtibble,2522,Create Tibbles and Lists of 'ggplot' Figures for Reporting,TRUE
ggtikz,11792,Post-Process 'ggplot2' Plots with 'TikZ' Code Using Plot Coordinates,TRUE
ggTimeSeries,47027,Time Series Visualisations Using the Grammar of Graphics,TRUE
ggtrace,7543,Trace and Highlight Groups of Data Points,TRUE
ggtrendline,11519,Add Trendline and Confidence Interval to 'ggplot',TRUE
ggtricks,5169,Create Sector and Other Charts Easily Using Grammar of Graphics,TRUE
ggupset,153771,Combination Matrix Axis for 'ggplot2' to Create 'UpSet' Plots,TRUE
ggvenn,168891,Draw Venn Diagram by 'ggplot2',TRUE
ggVennDiagram,221756,A 'ggplot2' Implement of Venn Diagram,TRUE
ggversa,32167,Graficas Versatiles Con 'ggplot2',TRUE
ggview,2417,'ggplot2' Picture Previewer,TRUE
ggvis,948278,Interactive Grammar of Graphics,TRUE
ggvolcano,2979,Publication-Ready Volcano Plots,TRUE
ggwordcloud,205406,A Word Cloud Geom for 'ggplot2',TRUE
ggx,12807,A Natural Language Interface to 'ggplot2',TRUE
add2ggplot,27039,Add to 'ggplot2',TRUE
aplot,1283274,Decorate a 'ggplot' with Associated Information,TRUE
aRtsy,30648,Generative Art with 'ggplot2',TRUE
bdscale,51465,Remove Weekends and Holidays from ggplot2 Axes,TRUE
calendR,51366,Ready to Print Monthly and Yearly Calendars Made with 'ggplot2',TRUE
ComplexUpset,70555,Create Complex UpSet Plots Using 'ggplot2' Components,TRUE
contribution,29897,A Tiny Contribution Table Generator Based on 'ggplot2',TRUE
cowplot,17969538,Streamlined Plot Theme and Plot Annotations for 'ggplot2',TRUE
cytofan,24437,Plot Fan Plots for Cytometry Data using 'ggplot2',TRUE
egg,756580,"Extensions for 'ggplot2': Custom Geom, Custom Themes, Plot
Alignment, Labelled Panels, Symmetric Scales, and Fixed Panel
Size",TRUE
figpatch,13690,"Easily Arrange External Figures with Patchwork Alongside
'ggplot2' Figures",TRUE
fillpattern,8869,Patterned Fills for 'ggplot2' and 'grid' Graphics,TRUE
flowmapper,3525,"Draw Flows (Migration, Goods, Money, Information) on 'ggplot2'
Plots",TRUE
gamlss.ggplots,9166,"Plotting Functions for Generalized Additive Model for Location
Scale and Shape",TRUE
gapmap,38846,Drawing Gapped Cluster Heatmaps with 'ggplot2',TRUE
geofacet,90485,'ggplot2' Faceting Utilities for Geographical Data,TRUE
geomtextpath,108523,Curved Text in 'ggplot2',TRUE
granovaGG,49781,Graphical Analysis of Variance Using ggplot2,TRUE
gratia,132857,"Graceful 'ggplot'-Based Graphics and Other Functions for GAMs
Fitted Using 'mgcv'",TRUE
gwaRs,14194,"Manhattan, Q-Q, and PCA Plots using 'ggplot2'",TRUE
heatmaply,686781,Interactive Cluster Heat Maps Using 'plotly' and 'ggplot2',TRUE
hrbrthemes,2985553,"Additional Themes, Theme Components and Utilities for 'ggplot2'",TRUE
ipeaplot,3258,Add Ipea Editorial Standards to 'ggplot2' Graphics,TRUE
jcolors,95603,"Colors Palettes for R and 'ggplot2', Additional Themes for
'ggplot2'",TRUE
jskm,52171,Kaplan-Meier Plot with 'ggplot2',TRUE
layer,4095,Tilt your Maps and Turn Them into 'ggplot' Plots,TRUE
legendry,3317,Extended Legends and Axes for 'ggplot2',TRUE
lemon,286704,Freshing Up your 'ggplot2' Plots,TRUE
loon.ggplot,23668,A Grammar of Interactive Graphics,TRUE
mlbplotR,7534,"Create 'ggplot2' and 'gt' Visuals with Major League Baseball
Logos",TRUE
nflplotR,32466,NFL Logo Plots in 'ggplot2' and 'gt',TRUE
nord,35832,"Arctic Ice Studio's Nord and Group of Seven Inspired Colour
Palettes for 'ggplot2'",TRUE
onsvplot,10550,"National Road Safety Observatory (ONSV) Style for 'ggplot2'
Graphics",TRUE
painbow,7730,"Use XKCD's ""Painbow"" Colormap in ggplot2",TRUE
plothelper,25184,"New Plots Based on 'ggplot2' and Functions to Create Regular
Shapes",TRUE
plotluck,36779,"'ggplot2' Version of ""I'm Feeling Lucky!""",TRUE
plotthis,3577,"High-Level Plotting Built Upon 'ggplot2' and Other Plotting
Packages",TRUE
qqplotr,454930,Quantile-Quantile Plot Extensions for 'ggplot2',TRUE
qtl2ggplot,13104,Data Visualization for QTL Experiments,TRUE
quickReg,40126,"Build Regression Models Quickly and Display the Results Using
'ggplot2'",TRUE
RcmdrPlugin.KMggplot2,132660,R Commander Plug-in for Data Visualization with 'ggplot2',TRUE
RGraphSpace,2963,A Lightweight Interface Between 'ggplot2' and 'igraph' Objects,TRUE
see,725962,Model Visualisation Toolbox for 'easystats' and 'ggplot2',TRUE
smplot2,11982,"Create Standalone and Composite Plots in 'ggplot2' for
Publications",TRUE
SparseBiplots,19278,"'HJ-Biplot' using Different Ways of Penalization Plotting with
'ggplot2'",TRUE
sportyR,22371,Plot Scaled 'ggplot' Representations of Sports Playing Surfaces,TRUE
stevethemes,4435,Steve's 'ggplot2' Themes and Related Theme Elements,TRUE
survminer,2386700,Drawing Survival Curves using 'ggplot2',TRUE
swimplot,30855,Tools for Creating Swimmers Plots using 'ggplot2',TRUE
tablesgg,13272,"Presentation-Quality Tables, Displayed Using 'ggplot2'",TRUE
tgamtheme,12981,Globe and Mail Graphics Theme for 'ggplot2',TRUE
